sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote
BOOK-04.23-10-2732482544	X001RDQ8LR	2732482544	Un demi-siècle dans l'Himalaya	New	39.95	No		Yes	8	8	0	0	8	2643.07	0	0	0	0	0	0	8	0
BOOK-04.23-2,29-2747096424	X001RDQ94X	2747096424	Un livre	New	12.87	No		Yes	1	1	0	0	1	270.06	0	0	0	0	0	0	1	0
BOOK-04.23-2,93-2210558026	X001RE306H	2210558026	Outils pour les maths CM1: Programmes 2008	New	15.20	No		Yes	0	0	0	0	0	533.07	0	0	0	0	0	0	0	0
BOOK-04.23-3,08-2408019230	X001RF3E8F	2408019230	Mon cahier de bêtises	New	17.38	No		Yes	0	0	0	0	0	1284.09	0	0	0	0	0	0	0	0
BOOK-04.23-3,09-274599218X	X001RE62FX	274599218X	Je fais du Skate: Technique, pratique, champions	New	14.10	No		Yes	1	1	0	0	1	808.54	0	0	0	0	0	0	1	0
BOOK-04.23-3,09-2813217433	X001RDSAY5	2813217433	Cette expérience inouïe qui a bouleversé ma vie	New	14.07	No		Yes	0	0	0	0	0	414.76	0	0	0	0	0	0	0	0
BOOK-04.23-3,16-2754075607	X001RFFL77	2754075607	La grossesse pour les Nuls en BD	New	14.68	No		Yes	5	5	0	0	5	722.34	0	0	0	0	0	0	5	0
BOOK-04.23-3,42-2378011040	X001RDQCM7	2378011040	Bonjour chez vous, Monsieur Caca !: Le livre le plus bête du monde	New	14.52	No		Yes	1	1	0	0	1	577.97	0	0	0	0	0	0	1	0
BOOK-04.23-3,42-B07DXPQKKQ	X001RDQ8J9	B07DXPQKKQ	Chair de Poule 2: Les Fantômes d'Halloween. Le roman du film	New	16.36	No		Yes	0	0	0	0	0	424.59	0	0	0	0	0	0	0	0
BOOK-04.23-3,7-B06Y3XV4JW	X001RDXJUP	B06Y3XV4JW	Je rayonne jour après jour: Le coaching du soleil de l'énergie	New	14.90	No		Yes	4	4	0	0	4	1231.65	0	0	0	0	0	0	4	0
BOOK-04.23-3,92-2749916534	X001RDXIJR	2749916534	Plein de secrets: 7	New	14.20	No		Yes	1	1	0	0	1	991.91	0	0	0	0	0	0	1	0
BOOK-04.23-4,12-2749930987	X001RE29HN	2749930987	Blue: La couleur de mes secrets	New	17.34	No		Yes	0	0	0	0	0	619.43	0	0	0	0	0	0	0	0
BOOK-04.23-4,13-2849334545	X001RDXLML	2849334545	Coupe du monde 1930-2018	New	19.90	No		Yes	2	2	0	0	2	1367.99	0	0	0	0	0	0	2	0
BOOK-04.23-4,22-2749927250	X001RE62QR	2749927250	Double allégeance	New	15.30	No		Yes	0	0	0	0	0	1048.77	0	0	0	0	0	0	0	0
BOOK-04.23-4,25-2081420805	X001RE29BJ	2081420805	Sauvez votre peau ! : Devenez narcissique	New	17.90	No		Yes	0	0	0	0	0	512.75	0	0	0	0	0	0	0	0
BOOK-04.23-4,33-224685587X	X001RE2XN3	224685587X	La disparition de Josef Mengele: roman	New	18.50	No		Yes	2	2	0	0	2	565.68	0	0	0	0	0	0	2	0
BOOK-04.23-4,34-B07T2DHD92	X001RE2TIR	B07T2DHD92	Catastrophe à Huggabie City	New	15.68	No		Yes	1	1	0	0	1	539.95	0	0	0	0	0	0	1	0
