sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable
BOOK-04.23-10-2732482544	X001RDQ8LR	2732482544	Un demi-siècle dans l'Himalaya	New	407.53	No		Yes	8	8	0	0	8	2643.07	0	0	0	0	0	0
BOOK-04.23-2,29-2747096424	X001RDQ94X	2747096424	Un livre	New	138.88	No		Yes	1	1	0	0	1	270.06	0	0	0	0	0	0
BOOK-04.23-2,93-2210558026	X001RE306H	2210558026	Outils pour les maths CM1: Programmes 2008	New	129.36	No		Yes	0	0	0	0	0	533.07	0	0	0	0	0	0
BOOK-04.23-3,08-2408019230	X001RF3E8F	2408019230	Mon cahier de bêtises NE	New	143.64	No		Yes	0	0	0	0	0	1284.09	0	0	0	0	0	0
BOOK-04.23-3,09-2702913032	X001RE29KF	2702913032	Essaie encore, échoue encore, échoue mieux: Conseils de sagesse pour aller de l'avant	New	145.68	No		Yes	0	0	0	0	0	473.59	0	0	0	0	0	0
BOOK-04.23-3,09-274599218X	X001RE62FX	274599218X	Skate: Technique, pratique, champions	New	158.31	No		Yes	1	1	0	0	1	808.54	0	0	0	0	0	0
BOOK-04.23-3,09-2813217433	X001RDSAY5	2813217433	Cette expérience inouïe qui a bouleversé ma vie	New	116.46	No		Yes	0	0	0	0	0	414.76	0	0	0	0	0	0
BOOK-04.23-3,16-2754075607	X001RFFL77	2754075607	La Grossesse pour les Nuls en BD	New	153.94	No		Yes	5	5	0	0	5	722.34	0	0	0	0	0	0
BOOK-04.23-3,42-2378011040	X001RDQCM7	2378011040	Bonjour chez vous, Monsieur Caca ! Le livre le plus bête du monde	New	163.18	No		Yes	1	1	0	0	1	577.97	0	0	0	0	0	0
BOOK-04.23-3,42-B07DXPQKKQ	X001RDQ8J9	B07DXPQKKQ	Chair de Poule 2: Les Fantômes d'Halloween. Le roman du film	New	130.14	No		Yes	0	0	0	0	0	424.59	0	0	0	0	0	0
BOOK-04.23-3,49-2843193990	X001RDXJKP	2843193990	Trouver mon poids de forme et me réconcilier avec mon corps grâce à la sophrologie	New	144.11	No		Yes	0	0	0	0	0	725.95	0	0	0	0	0	0
BOOK-04.23-3,7-B06Y3XV4JW	X001RDXJUP	B06Y3XV4JW	Je rayonne jour après jour: Le coaching du soleil de l'énergie: Un programme de coaching inédit pour transformer votre vie	New	158.24	No		Yes	4	4	0	0	4	1231.65	0	0	0	0	0	0
BOOK-04.23-3,73-2850765333	X001RE2SUV	2850765333	César l'éclaireur	New	217.35	No		Yes	0	0	0	0	0	653.02	0	0	0	0	0	0
BOOK-04.23-3,73-2858296022	X001RDXJV9	2858296022	La Thérapie archétypale - Guider sa vie avec les archétypes	New	143.56	No		Yes	0	0	0	0	0	645.32	0	0	0	0	0	0
BOOK-04.23-3,92-2749916534	X001RDXIJR	2749916534	Le Journal d'Aurélie Laflamme - tome 7 Plein de secrets (7)	New	149.80	No		Yes	1	1	0	0	1	991.91	0	0	0	0	0	0
BOOK-04.23-4,12-2749930987	X001RE29HN	2749930987	Blue: La couleur de mes secrets	New	161.53	No		Yes	0	0	0	0	0	619.43	0	0	0	0	0	0
BOOK-04.23-4,13-2849334545	X001RDXLML	2849334545	Coupe du Monde - 1930-2018	New	204.56	No		Yes	2	2	0	0	2	1367.99	0	0	0	0	0	0
BOOK-04.23-4,22-2749927250	X001RE62QR	2749927250	Les Héritiers d'Enkidiev - tome 11 Double allégeance	New	169.68	No		Yes	0	0	0	0	0	1048.77	0	0	0	0	0	0
BOOK-04.23-4,25-2081420805	X001RE29BJ	2081420805	Sauvez votre peau !: Devenez narcissique	New	210.31	No		Yes	0	0	0	0	0	512.75	0	0	0	0	0	0
BOOK-04.23-4,33-224685587X	X001RE2XN3	224685587X	La disparition de Josef Mengele: roman	New	226.38	No		Yes	3	2	0	1	3	565.68	0	0	0	0	0	0
BOOK-04.23-4,34-B07T2DHD92	X001RE2TIR	B07T2DHD92	Les bizarres, Tome 01: Catastrophe à Huggabie City	New	168.33	No		Yes	1	1	0	0	1	539.95	0	0	0	0	0	0
BOOK-04.23-4,5-202135444X	X001RE2THN	202135444X	D'argent et de sang: Le roman vrai de la mafia du CO2	New	147.91	No		Yes	0	0	0	0	0	619.1	0	0	0	0	0	0
BOOK-04.23-4,5-2813209287	X001RE2ULX	2813209287	Le guide des vrais compléments alimentaires - Naturels et efficaces - Toutes les maladies de A à Z: Toutes les maladies de A à Z et leurs remèdes	New	202.46	No		Yes	6	6	0	0	6	844.75	0	0	0	0	0	0
BOOK-04.23-4,54-2412039305	X001RE2DVF	2412039305	Le Kit idéal - Mes joyeuses semaines avec Mathou: Contient : 1 semainier, 1 pot à crayons, 1 stylo 6 couleurs, 3 badges, 1 masking tape	New	172.08	No		Yes	0	0	0	0	0	4602.8	0	0	0	0	0	0
BOOK-04.23-4,54-2849333948	X001RDQ8RL	2849333948	La magie du Hygge - Mettez de la douceur nordique dans votre vie	New	152.66	No		Yes	0	0	0	0	0	653.68	0	0	0	0	0	0
BOOK-04.23-4,62-2813220256	X001RDXJWX	2813220256	L'Invité de l'au-delà	New	149.41	No		Yes	1	1	0	0	1	582.72	0	0	0	0	0	0
BOOK-04.23-4,62-2843194121	X001RE2U81	2843194121	Adultes surdoués et relations amoureuses - Comment vivre avec l'autre et savoir être heureux en coup: Comment vivre avec l'autre et savoir être heureux en couple	New	190.56	No		Yes	0	0	0	0	0	588.62	0	0	0	0	0	0
BOOK-04.23-4,62-284319413X	X001RDQ9MZ	284319413X	Hypersensibles - Le Labyrinthe des émotions	New	176.64	No		Yes	0	0	0	0	0	523.24	0	0	0	0	0	0
BOOK-04.23-4,67-2702914780	X001RE2C9N	2702914780	La musculation sans appareil, anatomie et mouvements	New	219.26	No		Yes	0	0	0	0	0	690.71	0	0	0	0	0	0
